ProjectID,ProjectName,ProjectDescription,StartDate,EndDate,Budget,Status
1,Community Health Initiative,A project to provide health services to remote areas.,2020-03-01,2026-03-01,150000,On-Going
2,Educational Support Program,Providing educational resources and tutoring.,2019-12-15,2025-06-15,250000,On-Going
3,Clean Water Access Project,Improving access to clean water sources.,2021-09-01,2023-06-30,80000,Completed
4,Emergency Relief Fund,Responding to natural disasters with emergency aid.,2023-01-10,2028-06-30,200000,Planned
5,Youth Empowerment Workshops,Workshops for skill-building among youth.,2023-04-01,2026-12-01,30000,On-Going
6,Food Security Program,Initiatives to reduce food scarcity in urban areas.,2021-11-20,2022-11-20,100000,Completed
7,Volunteer Training Initiative,Training volunteers for disaster response.,2022-08-01,2027-08-01,60000,On-Going
8,Animal Welfare Campaign,Advocating for the protection and welfare of animals.,2022-02-01,2024-11-30,45000,Completed
9,Environmental Conservation,Conservation of local wildlife and habitats.,2023-03-15,2029-03-15,120000,Planned
10,Financial Literacy Workshops,Workshops to educate people on financial management.,2023-05-01,2027-11-30,25000,On-Going
