ExpenseID,ExpenseDescription,Amount,ExpenseDate,ProjectID
1,Food and refreshments for training session,1360.4,2021-09-07,3
2,Transportation costs for volunteers,6152.07,2023-06-28,5
3,Team uniforms for cleanup drive,4074.74,2023-05-26,7
4,Emergency relief fund expenses,6727.56,2022-12-10,1
5,Insurance for charity event,5189.78,2021-12-22,1
6,Volunteer stipends,5035.22,2023-09-09,4
7,Food and refreshments for training session,2673.02,2024-03-08,10
8,Event photography and media coverage,8366.98,2023-01-04,1
9,Team uniforms for cleanup drive,3285.01,2022-12-07,1
10,Rent for temporary storage facility,8954.61,2022-04-02,8
11,Venue rental for the community event,3579.87,2024-02-27,5
12,Payment for guest speaker,7728.31,2023-08-07,7
13,Event photography and media coverage,3257.87,2021-12-16,3
14,Food and refreshments for training session,154.77,2020-09-06,1
15,Transportation costs for volunteers,3549.36,2023-07-09,10
16,Emergency relief fund expenses,1382.78,2023-06-23,7
17,Marketing and advertising expenses,907.6,2023-03-27,9
18,Medical supplies for health camp,3050.21,2024-04-29,10
19,Insurance for charity event,3878.48,2024-02-01,9
20,Rent for temporary storage facility,9438.24,2022-06-23,3
21,Printing and distribution of flyers,2086.23,2023-03-31,7
22,Event photography and media coverage,316.62,2023-06-01,4
23,Fundraising event catering,4808.51,2022-07-01,6
24,Event photography and media coverage,561.97,2024-06-08,5
25,Stationery and office supplies,3814.65,2024-07-06,9
26,Transportation costs for volunteers,194.16,2023-12-10,4
27,Food and refreshments for training session,4919.44,2022-11-25,8
28,Event photography and media coverage,8932.07,2024-02-26,9
29,Security and safety services,330.88,2022-09-10,7
30,Volunteer appreciation gifts,757.07,2022-10-23,6
31,Transportation costs for volunteers,4985.84,2022-09-28,2
32,Stationery and office supplies,4275.67,2024-07-11,5
33,Food and refreshments for training session,5902.84,2022-09-20,8
34,Insurance for charity event,5860.24,2023-09-07,8
35,Volunteer appreciation gifts,7545.32,2024-10-17,1
36,Fundraising event catering,7617.65,2021-12-11,6
37,Event photography and media coverage,3800.3,2024-11-09,9
38,Insurance for charity event,3782.64,2021-11-21,1
39,Food and refreshments for training session,361.14,2021-11-29,3
40,Emergency relief fund expenses,110.91,2020-11-15,1
41,Venue rental for the community event,7684.89,2023-10-10,10
42,Educational materials for workshop,5995.82,2021-12-02,6
43,Event photography and media coverage,5854.33,2022-11-18,7
44,Food and refreshments for training session,935.02,2023-01-25,7
45,Food and refreshments for training session,7765.7,2023-01-13,4
46,Tree saplings and gardening tools,1707.85,2024-09-21,7
47,Volunteer stipends,2644.06,2024-11-02,7
48,Volunteer appreciation gifts,2287.82,2024-04-20,9
49,Volunteer appreciation gifts,8562.22,2023-06-11,7
50,Emergency relief fund expenses,9959.62,2020-11-29,2
51,Marketing and advertising expenses,9562.92,2022-07-20,1
52,Medical supplies for health camp,7041.81,2024-05-01,10
53,Tents and equipment for outdoor activities,8501.64,2024-05-14,7
54,Insurance for charity event,2403.2,2024-01-04,7
55,Team uniforms for cleanup drive,1147.02,2021-12-01,6
56,Food and refreshments for training session,6922.37,2024-07-10,9
57,Emergency relief fund expenses,7896.93,2021-12-18,6
58,Medical supplies for health camp,7059.58,2023-11-20,8
59,Rent for temporary storage facility,9903.23,2024-03-14,5
60,Tree saplings and gardening tools,1268.35,2024-01-11,7
61,Payment for guest speaker,6502.69,2024-08-27,4
62,Stationery and office supplies,4650.02,2023-07-16,9
63,Emergency relief fund expenses,6098.54,2023-10-23,10
64,Fundraising event catering,7887.43,2024-04-02,5
65,Marketing and advertising expenses,8029.64,2023-09-25,8
66,Tents and equipment for outdoor activities,1288.26,2021-04-19,2
67,Printing and distribution of flyers,5592.05,2024-06-17,4
68,Stationery and office supplies,4932.88,2022-05-13,8
69,Venue rental for the community event,9416.31,2020-09-06,1
70,Insurance for charity event,1586.06,2023-10-22,10
71,Medical supplies for health camp,7568.79,2023-11-07,4
72,Volunteer appreciation gifts,6986.28,2022-12-27,1
73,Emergency relief fund expenses,1445.49,2024-03-20,10
