VolunteerID,ActivityID,WorkDate,HoursWorked
11,10,2023-10-09,3
12,12,2023-05-24,7
11,7,2023-02-28,2
3,10,2023-09-15,3
3,16,2022-05-15,4
11,10,2023-10-09,3
12,12,2023-05-24,7
11,7,2023-02-28,2
3,10,2024-01-15,3
4,16,2022-06-15,4
12,10,2023-08-02,5
3,18,2021-12-29,4
12,6,2022-03-07,5
12,10,2024-08-02,5
4,18,2022-08-29,4
12,6,2024-03-07,5
3,9,2022-08-23,2
3,3,2024-04-15,8
3,15,2024-09-02,3
13,5,2022-07-06,4
18,3,2021-03-15,6
3,7,2022-10-02,3
15,6,2024-05-11,5
15,6,2020-07-20,2
3,7,2022-05-01,5
3,7,2022-06-02,5
3,8,2023-03-17,8
3,9,2022-08-23,2
19,1,2022-04-15,8
5,15,2023-09-02,3
3,5,2023-07-06,4
3,3,2021-03-15,6
3,7,2022-10-02,3
18,6,2021-05-11,5
17,6,2021-07-20,2
3,7,2021-10-01,5
3,7,2022-06-02,5
3,8,2021-11-17,8
4,2,2023-06-05,5
4,11,2023-07-20,7
4,10,2023-05-24,2
4,10,2023-07-02,6
18,6,2023-12-24,5
4,4,2022-04-13,3
4,14,2024-05-03,7
4,30,2023-11-07,3
20,2,2022-08-01,5
4,2,2024-06-05,5
4,11,2024-07-20,7
4,10,2023-05-24,2
4,10,2024-02-02,6
19,6,2021-12-24,5
20,4,2024-04-13,3
8,13,2024-05-03,7
4,30,2024-10-07,3
4,1,2024-08-01,5
5,10,2023-05-16,8
5,5,2023-10-13,1
15,5,2024-01-10,5
5,10,2024-11-08,1
5,12,2024-03-13,8
5,10,2024-05-16,8
5,5,2023-10-13,1
5,5,2021-01-10,5
5,10,2023-11-08,1
5,12,2024-03-13,8
6,6,2023-03-22,6
9,14,2023-05-11,8
6,10,2023-08-26,3
6,10,2024-03-17,5
6,2,2022-03-15,4
6,6,2022-03-22,6
6,14,2023-05-11,8
6,10,2024-01-26,3
6,10,2024-03-17,5
18,3,2022-03-15,4
7,1,2022-05-21,8
7,10,2023-12-25,6
7,12,2023-06-27,1
7,8,2022-09-26,2
5,17,2022-03-11,6
7,7,2022-08-02,2
7,6,2024-04-29,5
17,10,2024-05-30,3
7,8,2022-12-07,7
7,10,2024-05-02,2
7,6,2022-04-27,4
7,7,2022-02-01,3
7,13,2024-11-10,7
7,10,2024-08-26,7
17,1,2023-05-21,8
8,10,2023-12-25,6
8,12,2024-03-27,1
7,8,2022-09-26,2
6,17,2022-04-11,6
7,7,2023-05-02,2
7,6,2021-04-29,5
8,10,2023-05-30,3
7,8,2022-12-07,7
9,10,2023-05-02,2
7,6,2022-04-27,4
7,7,2022-02-01,3
11,13,2023-11-10,7
7,10,2023-08-26,7
8,3,2021-10-02,8
8,5,2020-08-15,8
8,20,2023-01-14,3
8,22,2022-11-12,5
8,23,2023-06-04,8
8,7,2021-10-06,2
18,2,2021-10-02,8
8,5,2023-08-15,8
8,20,2022-10-14,3
8,22,2023-11-12,5
8,23,2024-06-04,8
8,7,2022-06-06,2
9,4,2022-01-12,1
9,4,2021-02-24,6
9,26,2024-03-13,5
12,10,2024-04-03,1
9,7,2022-04-16,2
9,4,2022-01-12,1
9,4,2020-02-24,6
9,26,2024-04-13,5
9,10,2024-04-03,1
9,7,2022-04-16,2
13,10,2023-05-13,1
10,10,2023-07-04,6
10,5,2020-04-08,7
10,15,2024-10-23,7
10,7,2023-01-18,4
11,6,2023-08-24,3
10,8,2022-03-06,4
10,1,2021-10-10,5
8,5,2020-11-20,1
10,5,2022-06-11,6
10,10,2024-05-13,1
10,10,2023-07-04,6
10,5,2022-04-08,7
13,15,2023-10-23,7
10,7,2023-04-18,4
10,6,2021-08-24,3
10,8,2023-03-06,4
11,3,2021-10-10,5
13,5,2021-11-20,1
10,5,2022-06-11,6
12,4,2022-05-14,6
11,7,2022-04-11,4
11,6,2023-04-30,1
11,27,2024-09-10,7
11,11,2024-04-14,2
11,7,2022-05-12,5
11,4,2022-05-14,6
11,7,2022-04-11,4
11,6,2023-04-30,1
11,27,2023-10-10,7
11,11,2024-04-14,2
11,7,2022-05-12,5
12,4,2020-03-09,5
12,6,2023-10-07,1
13,10,2024-02-14,1
12,29,2024-05-18,2
18,4,2022-03-09,5
12,6,2022-10-07,1
12,10,2024-02-14,1
17,29,2024-04-18,2
13,6,2023-11-29,4
13,7,2021-10-29,8
13,28,2023-06-21,4
15,10,2024-03-23,7
13,24,2023-03-12,1
13,5,2024-10-24,8
13,6,2020-11-29,4
13,7,2021-10-29,8
13,28,2023-07-21,4
15,10,2024-03-23,7
17,24,2024-03-12,1
13,5,2022-10-24,8
17,5,2023-05-10,4
18,21,2024-06-15,4
18,5,2024-04-10,6
19,7,2021-12-25,6
19,6,2024-07-24,7
12,25,2024-05-27,4
20,5,2021-05-10,4
17,21,2022-09-15,4
20,5,2021-04-10,6
20,7,2021-12-25,6
20,6,2022-07-24,7
12,25,2023-06-27,4
7,16,2021-12-11,1
15,4,2022-09-09,8
15,19,2023-04-27,7
15,8,2022-12-30,5
15,2,2023-03-09,5
8,16,2021-12-11,1
15,4,2022-09-09,8
15,19,2023-04-27,7
15,8,2022-12-30,5
15,1,2022-03-09,5
